,exp_iter,caipi_iter,state,fp_rate,fn_rates,precision,recall,accuracy,corr_ces_pos,corr_ces_neg,labeled_size,unlabeled_size
0,1,1,RWR,0.0,1.0,,0.0,0.7457614624797287,0.0,0.0,14,31655
1,1,2,W,0.00029653059207274883,0.9942012177442737,0.8695652173913043,0.0057987822557262975,0.7470145953118089,0.0,0.07,15,31654
2,1,3,W,0.0003953741227636651,0.9698463322702232,0.9629629629629629,0.030153667729776748,0.7531328320802005,0.0,0.3711340206185567,16,31653
3,1,4,W,0.002471088267272907,0.9431719338938823,0.8868778280542986,0.056828066106117715,0.7583665044965354,0.0,0.4583333333333333,17,31652
4,1,5,W,0.002174557675200158,0.9072194839083793,0.935672514619883,0.09278051609162076,0.7677281438891346,0.0,0.32653061224489793,18,31651
5,1,6,W,0.0018780270831274092,0.8918527109307045,0.951530612244898,0.10814728906929545,0.7718561108653987,0.0,0.27,19,31650
6,1,7,W,0.0042502718197094,0.880255146419252,0.9057017543859649,0.11974485358074805,0.7730355300014743,0.0,0.5789473684210527,20,31649
7,1,8,W,0.009093604823564298,0.8358944621629458,0.8601823708206687,0.16410553783705423,0.7807017543859649,0.0,0.6041666666666666,21,31648
8,1,9,W,0.017989522585746764,0.7744273702522471,0.8104166666666667,0.22557262974775297,0.7896948252985405,0.0,0.5212765957446809,22,31647
9,1,10,W,0.02016408026094692,0.7434038851841114,0.8126721763085399,0.2565961148158887,0.7959604894589415,0.0,0.6559139784946236,23,31646
10,1,11,W,0.030443807452802216,0.6946941142360105,0.7736958119030125,0.30530588576398954,0.8006781660032434,0.0,0.4725274725274725,24,31645
11,1,12,RWR,0.03845013343876643,0.6706291678747464,0.7449180327868853,0.3293708321252537,0.8008255933952528,0.0,0.34782608695652173,28,31644
12,1,13,RWR,0.0297519027379658,0.7239779646274282,0.7597765363128491,0.27602203537257175,0.7937490785788,0.0,0.550561797752809,32,31643
13,1,14,W,0.0297519027379658,0.668599594085242,0.7915512465373962,0.3314004059147579,0.807828394515701,0.0,0.4431818181818182,33,31642
14,1,15,W,0.03350795690422062,0.6468541606262684,0.7822736030828517,0.3531458393737315,0.8105558012678755,0.0,0.5824175824175825,34,31641
15,1,16,W,0.03637441929425719,0.5995940852420991,0.7895940537449971,0.4004059147579008,0.8204334365325078,0.0,0.6091954022988506,35,31640
16,1,17,W,0.04487496293367599,0.5627718179182372,0.7686034658511722,0.43722818208176284,0.8234556980687011,0.0,0.5529411764705883,36,31639
17,1,18,W,0.05337550657309479,0.5062336909249058,0.7592510031208203,0.4937663090750942,0.8314904909332154,0.0,0.5180722891566265,37,31638
18,1,19,RWR,0.062073737273895424,0.45926355465352275,0.748094665062174,0.5407364453464772,0.8369453044375645,0.0,0.5308641975308642,41,31637
19,1,20,W,0.05416625481862212,0.5247897941432299,0.7494284407864655,0.4752102058567701,0.8261831048208758,0.0,0.4772727272727273,42,31636
20,1,21,RWR,0.06681822674705941,0.4723108147289069,0.7291666666666666,0.5276891852710931,0.8300899307091257,0.0,0.5340909090909091,46,31635
21,1,22,RWR,0.057428091331422355,0.49956509133082055,0.7481577806675336,0.5004349086691795,0.8301636444051305,0.0,0.5116279069767442,50,31634
22,1,23,RRR,0.05555006424829495,0.5018846042331111,0.7535087719298246,0.49811539576688896,0.8309744950611824,0.0,0.5679012345679012,51,31633
23,1,24,W,0.05090441830582188,0.5508843142939983,0.750484496124031,0.44911568570600174,0.8219814241486069,0.0,0.5512820512820513,52,31632
24,1,25,W,0.04724720767025798,0.5439257755871267,0.7669429546562653,0.4560742244128733,0.8264779596048946,0.0,0.53125,53,31631
25,1,26,W,0.0515963230206583,0.5018846042331111,0.7669642857142858,0.49811539576688896,0.8339230429013711,0.0,0.5925925925925926,54,31630
26,1,27,W,0.06474251260255016,0.4195418962017976,0.7534813699661272,0.5804581037982024,0.8450538109980834,0.0,0.5443037974683544,55,31629
27,1,28,RWR,0.07205693387367797,0.392287619599884,0.7419469026548673,0.607712380400116,0.8465280849181778,0.0,0.5308641975308642,59,31628
28,1,29,W,0.06622516556291391,0.4140330530588576,0.7510219249349684,0.5859669469411424,0.8453486657821023,0.0,0.5316455696202531,60,31627
29,1,30,W,0.0765048927547692,0.36909249057697885,0.7376271186440678,0.6309075094230212,0.849108064278343,0.0,0.5833333333333334,61,31626
30,1,31,RWR,0.08174359988138777,0.3580748042910989,0.7280499835580401,0.6419251957089012,0.8480023588382721,0.0,0.6547619047619048,65,31625
31,1,32,RRR,0.07433033507956904,0.3899681066975935,0.7366946778711485,0.6100318933024065,0.8454223794781071,0.0,0.7126436781609196,66,31624
32,1,33,W,0.0716615597509143,0.4053348796752682,0.7388328530259366,0.5946651203247318,0.8435058233819843,0.0,0.6052631578947368,67,31623
33,1,34,RWR,0.07670257981615103,0.3873586546825167,0.7313949463482173,0.6126413453174834,0.8443166740380362,0.0,0.654320987654321,71,31622
34,1,35,W,0.07452802214095088,0.3992461583067556,0.7331917905166313,0.6007538416932444,0.8429161138139466,0.0,0.7349397590361446,72,31621
35,1,36,RRR,0.07729564100029652,0.3824296897651493,0.7314560439560439,0.6175703102348507,0.8451275246940881,0.0,0.6352941176470588,73,31620
36,1,37,W,0.06998121972916872,0.4059147579008408,0.7431991294885746,0.5940852420991591,0.8446115288220551,0.0,0.6172839506172839,74,31619
37,1,38,W,0.06988237619847781,0.387648593795303,0.7492018446257538,0.612351406204697,0.849329205366357,0.0,0.7402597402597403,75,31618
38,1,39,RWR,0.07482455273302363,0.37315163815598723,0.7406646111682083,0.6268483618440127,0.849329205366357,0.0,0.5844155844155844,79,31617
39,1,40,RWR,0.07304536918058713,0.36909249057697885,0.746483704974271,0.6309075094230212,0.851688043638508,0.0,0.5925925925925926,83,31616
40,1,41,W,0.07067312444400514,0.3751812119454914,0.7508710801393729,0.6248187880545085,0.8519091847265222,0.0,0.4939759036144578,84,31615
41,1,42,RWR,0.07235346446575072,0.3737315163815599,0.7468879668049793,0.6262684836184401,0.8510246203744656,0.0,0.6144578313253012,88,31614
42,1,43,RWR,0.06938815854502323,0.36416352565961146,0.7575129533678756,0.6358364743403885,0.8556685832227627,0.0,0.573170731707317,92,31613
43,1,44,W,0.06770781852327765,0.38097999420121775,0.7570921985815603,0.6190200057987822,0.8526463216865694,0.0,0.5411764705882353,93,31612
44,1,45,W,0.07077196797469605,0.36706291678747466,0.7530182821662642,0.6329370832125254,0.8538994545186496,0.0,0.5542168674698795,94,31611
45,1,46,RWR,0.07423149154887812,0.35778486517831254,0.7467970330411329,0.6422151348216875,0.8536783134306354,0.0,0.6578947368421053,98,31610
46,1,47,RWR,0.07215577740436889,0.3667729776746883,0.7494852436513384,0.6332270223253117,0.8529411764705882,0.0,0.5833333333333334,102,31609
47,1,48,RRR,0.07087081150538697,0.36706291678747466,0.7527586206896552,0.6329370832125254,0.8538257408226448,0.0,0.7088607594936709,103,31608
48,1,49,W,0.06671938321636849,0.3734415772687736,0.7619887165021156,0.6265584227312264,0.8553000147427392,0.0,0.632183908045977,104,31607
49,1,50,W,0.07067312444400514,0.3746013337199188,0.7510445682451253,0.6253986662800812,0.8520566121185317,0.0,0.5844155844155844,105,31606
50,1,51,W,0.07146387268953247,0.37112206436648304,0.75,0.628877935633517,0.8523514669025505,0.0,0.6823529411764706,106,31605
51,1,52,RWR,0.07314421271127805,0.35952449985503043,0.749067480501865,0.6404755001449696,0.854046881910659,0.0,0.5764705882352941,110,31604
52,1,53,RWR,0.07877829396066027,0.3490866917947231,0.7380013149243918,0.6509133082052769,0.8524988942945599,0.0,0.6666666666666666,114,31603
53,1,54,W,0.07561530097855096,0.3534357784865178,0.7445742904841403,0.6465642215134821,0.8537520271266401,0.0,0.5955056179775281,115,31602
54,1,55,W,0.07670257981615103,0.35169614380979997,0.7423638778220452,0.6483038561902,0.8533834586466166,0.0,0.6375,116,31601
55,1,56,W,0.07640604922407829,0.3525659611481589,0.7428476380572189,0.6474340388518411,0.8533834586466166,0.0,0.6666666666666666,117,31600
56,1,57,W,0.0801621033903331,0.3479269353435778,0.734967320261438,0.6520730646564221,0.8517617573345128,0.0,0.5,118,31599
57,1,58,RWR,0.08243550459622417,0.334299797042621,0.7335463258785943,0.665700202957379,0.8535308860386259,0.0,0.6818181818181818,122,31598
58,1,59,RWR,0.08055747751309676,0.3409683966367063,0.7360751295336787,0.6590316033632937,0.8532360312546071,0.0,0.7228915662650602,126,31597
59,1,60,W,0.07680142334684195,0.36358364743403887,0.7385598923283984,0.6364163525659612,0.8502874834144184,0.0,0.6125,127,31596
60,1,61,RRR,0.07640604922407829,0.3647434038851841,0.7392037786774629,0.6352565961148159,0.8502874834144184,0.0,0.5238095238095238,128,31595
61,1,62,RWR,0.07087081150538697,0.3746013337199188,0.7505219206680585,0.6253986662800812,0.8519091847265222,0.0,0.5822784810126582,132,31594
62,1,63,W,0.07344074330335079,0.3702522470281241,0.7451114922813036,0.6297477529718759,0.8510983340704703,0.0,0.4936708860759494,133,31593
63,1,64,W,0.07551645744786004,0.35749492606552624,0.7436241610738255,0.6425050739344738,0.8527937490785787,0.0,0.6712328767123288,134,31592
64,1,65,W,0.07778985865375111,0.35372571759930416,0.7390583554376657,0.6462742824006958,0.8520566121185317,0.0,0.6551724137931034,135,31591
65,1,66,RWR,0.07838291983789661,0.3528559002609452,0.7378512396694215,0.6471440997390548,0.8518354710305175,0.0,0.5517241379310345,139,31590
66,1,67,W,0.07729564100029652,0.3545955349376631,0.7400265957446809,0.645404465062337,0.852204039510541,0.0,0.5443037974683544,140,31589
67,1,68,W,0.08184244341207868,0.3450275442157147,0.7317784256559767,0.6549724557842853,0.8512457614624798,0.0,0.5647058823529412,141,31588
68,1,69,W,0.08204013047346051,0.3450275442157147,0.7313046293298803,0.6549724557842853,0.8510983340704703,0.0,0.5789473684210527,142,31587
69,1,70,W,0.0813482257586241,0.3374891272832705,0.7351994851994852,0.6625108727167295,0.8535308860386259,0.0,0.47560975609756095,143,31586
70,1,71,W,0.08302856578036967,0.3392287619599884,0.7306829111894838,0.6607712380400116,0.8518354710305175,0.0,0.48,144,31585
71,1,72,RWR,0.08895917762182465,0.3290808930124674,0.7199751088985687,0.6709191069875327,0.8499926286303995,0.0,0.4823529411764706,148,31584
72,1,73,W,0.08213897400415143,0.3348796752681937,0.73408,0.6651203247318063,0.8536045997346307,0.0,0.6162790697674418,149,31583
73,1,74,W,0.08401700108727883,0.3348796752681937,0.7296437659033079,0.6651203247318063,0.852204039510541,0.0,0.6329113924050633,150,31582
74,1,75,W,0.08421468814866068,0.3311104668019716,0.7302943969610636,0.6688895331980285,0.8530148901665929,0.0,0.4880952380952381,151,31581
75,1,76,W,0.08292972224967876,0.3314004059147579,0.7332273449920509,0.668599594085242,0.8538994545186496,0.0,0.36,152,31580
76,1,77,RRR,0.09162795295047939,0.3119744853580748,0.7190909090909091,0.6880255146419252,0.8523514669025505,0.0,0.5679012345679012,153,31579
77,1,78,W,0.09063951764357023,0.32038271962887793,0.7187979147500767,0.679617280371122,0.8509509066784608,0.0,0.5421686746987951,154,31578
78,1,79,RWR,0.08806958584560641,0.3235720498695274,0.7236352357320099,0.6764279501304726,0.8520566121185317,0.0,0.4625,158,31577
79,1,80,RRR,0.0892557082138974,0.31632357204986955,0.7230910763569457,0.6836764279501305,0.8530148901665929,0.0,0.5324675324675324,159,31576
80,1,81,W,0.0855984975783335,0.3241519280951,0.7291210509852987,0.6758480719048999,0.8537520271266401,0.0,0.5180722891566265,160,31575
81,1,82,W,0.08549965404764258,0.33169034502754424,0.7271293375394322,0.6683096549724558,0.8519091847265222,0.0,0.4939759036144578,161,31574
82,1,83,W,0.08461006227142434,0.32966077123804,0.7297979797979798,0.67033922876196,0.8530886038625977,0.0,0.5070422535211268,162,31573
83,1,84,W,0.08836611643767915,0.3215424760800232,0.7235621521335807,0.6784575239199768,0.8523514669025505,0.0,0.5,163,31572
84,1,85,RRR,0.08579618463971533,0.3261815018846042,0.7280701754385965,0.6738184981153957,0.8530886038625977,0.0,0.4605263157894737,164,31571
85,1,86,RRR,0.0867846199466245,0.32444186720788637,0.7263092269326683,0.6755581327921136,0.8527937490785787,0.0,0.5,165,31570
86,1,87,RWR,0.08648808935455174,0.3261815018846042,0.7264770240700219,0.6738184981153957,0.8525726079905647,0.0,0.5333333333333333,169,31569
87,1,88,RRR,0.08540081051695167,0.32067265874166423,0.7305893358278766,0.6793273412583357,0.8547840188707062,0.0,0.5131578947368421,170,31568
88,1,89,W,0.0855984975783335,0.32328211075674107,0.729375,0.6767178892432589,0.8539731682146543,0.0,0.5375,171,31567
89,1,90,RWR,0.0855984975783335,0.32676138011017686,0.7283563362609786,0.6732386198898231,0.8530886038625977,0.0,0.52,175,31566
90,1,91,W,0.08757536819215182,0.31690345027544214,0.7267119062307218,0.6830965497245578,0.8541205956066638,0.0,0.5714285714285714,176,31565
91,1,92,RWR,0.08846495996837007,0.3198028414033053,0.7238506633755014,0.6801971585966947,0.8527200353825741,0.0,0.5189873417721519,180,31564
92,1,93,RWR,0.08569734110902441,0.3221223543055958,0.7294851794071763,0.6778776456944042,0.8541943093026685,0.0,0.5063291139240507,184,31563
93,1,94,W,0.08846495996837007,0.3221223543055958,0.7231673368388494,0.6778776456944042,0.8521303258145363,0.0,0.46153846153846156,185,31562
