,exp_iter,caipi_iter,state,fp_rate,fn_rates,precision,recall,accuracy,corr_ces_pos,corr_ces_neg,labeled_size,unlabeled_size
0,1,1,RWR,0.28205128205128205,0.2702702702702703,0.5510204081632653,0.7297297297297297,0.7217391304347827,0.0,0.2222222222222222,16,537
1,1,2,W,0.1858974358974359,0.3783783783783784,0.6133333333333333,0.6216216216216216,0.7521739130434782,0.0,0.38961038961038963,17,536
2,1,3,RWR,0.1858974358974359,0.44594594594594594,0.5857142857142857,0.5540540540540541,0.7304347826086957,0.0,0.3333333333333333,18,535
3,1,4,W,0.14102564102564102,0.6486486486486487,0.5416666666666666,0.35135135135135137,0.6956521739130435,0.0,0.3058823529411765,19,534
4,1,5,RWR,0.1858974358974359,0.5540540540540541,0.532258064516129,0.44594594594594594,0.6956521739130435,0.0,0.45,20,533
5,1,6,W,0.16666666666666666,0.5540540540540541,0.559322033898305,0.44594594594594594,0.7086956521739131,0.0,0.2926829268292683,21,532
6,1,7,W,0.1987179487179487,0.4864864864864865,0.5507246376811594,0.5135135135135135,0.7086956521739131,0.05,0.2375,22,531
7,1,8,RWR,0.21153846153846154,0.44594594594594594,0.5540540540540541,0.5540540540540541,0.7130434782608696,0.0,0.10526315789473684,23,530
8,1,9,RWR,0.17307692307692307,0.4864864864864865,0.5846153846153846,0.5135135135135135,0.7260869565217392,0.0,0.32051282051282054,24,529
9,1,10,RWR,0.16666666666666666,0.5,0.5873015873015873,0.5,0.7260869565217392,0.0,0.27710843373493976,30,528
10,1,11,RWR,0.0641025641025641,0.6621621621621622,0.7142857142857143,0.33783783783783783,0.7434782608695653,0.0,0.4117647058823529,31,527
11,1,12,W,0.05128205128205128,0.8243243243243243,0.6190476190476191,0.17567567567567569,0.7,0.0,0.4148936170212766,32,526
12,1,13,RWR,0.057692307692307696,0.7702702702702703,0.6538461538461539,0.22972972972972974,0.7130434782608696,0.0,0.5393258426966292,38,525
13,1,14,W,0.057692307692307696,0.6621621621621622,0.7352941176470589,0.33783783783783783,0.7478260869565218,0.0,0.4588235294117647,39,524
14,1,15,W,0.07692307692307693,0.6351351351351351,0.6923076923076923,0.36486486486486486,0.7434782608695653,0.0,0.39080459770114945,40,523
15,1,16,W,0.08333333333333333,0.6351351351351351,0.675,0.36486486486486486,0.7391304347826086,0.0,0.3372093023255814,41,522
16,1,17,RWR,0.10256410256410256,0.6081081081081081,0.6444444444444445,0.3918918918918919,0.7347826086956522,0.058823529411764705,0.5301204819277109,42,521
17,1,18,RWR,0.10256410256410256,0.5945945945945946,0.6521739130434783,0.40540540540540543,0.7391304347826086,0.0,0.3875,43,520
18,1,19,W,0.07692307692307693,0.6081081081081081,0.7073170731707317,0.3918918918918919,0.7521739130434782,0.0,0.43529411764705883,44,519
19,1,20,RWR,0.10256410256410256,0.6216216216216216,0.6363636363636364,0.3783783783783784,0.7304347826086957,0.0,0.3333333333333333,45,518
20,1,21,RWR,0.08974358974358974,0.5945945945945946,0.6818181818181818,0.40540540540540543,0.7478260869565218,0.0,0.48148148148148145,51,517
21,1,22,W,0.038461538461538464,0.6351351351351351,0.8181818181818182,0.36486486486486486,0.7695652173913043,0.0,0.627906976744186,52,516
22,1,23,RWR,0.038461538461538464,0.6081081081081081,0.8285714285714286,0.3918918918918919,0.7782608695652173,0.0,0.6219512195121951,53,515
23,1,24,RRR,0.02564102564102564,0.6216216216216216,0.875,0.3783783783783784,0.782608695652174,0.0,0.5697674418604651,54,514
24,1,25,W,0.038461538461538464,0.6351351351351351,0.8181818181818182,0.36486486486486486,0.7695652173913043,0.0,0.5862068965517241,55,513
25,1,26,RWR,0.038461538461538464,0.6621621621621622,0.8064516129032258,0.33783783783783783,0.7608695652173914,0.0,0.6436781609195402,56,512
26,1,27,W,0.03205128205128205,0.6216216216216216,0.8484848484848485,0.3783783783783784,0.7782608695652173,0.0,0.5764705882352941,57,511
27,1,28,RWR,0.038461538461538464,0.6351351351351351,0.8181818181818182,0.36486486486486486,0.7695652173913043,0.0,0.5542168674698795,58,510
28,1,29,W,0.03205128205128205,0.6621621621621622,0.8333333333333334,0.33783783783783783,0.7652173913043478,0.0,0.6046511627906976,59,509
29,1,30,W,0.038461538461538464,0.6486486486486487,0.8125,0.35135135135135137,0.7652173913043478,0.0,0.5411764705882353,60,508
30,1,31,W,0.04487179487179487,0.6351351351351351,0.7941176470588235,0.36486486486486486,0.7652173913043478,0.0,0.5357142857142857,61,507
31,1,32,RRR,0.04487179487179487,0.581081081081081,0.8157894736842105,0.4189189189189189,0.782608695652174,0.0,0.5172413793103449,62,506
32,1,33,W,0.04487179487179487,0.6351351351351351,0.7941176470588235,0.36486486486486486,0.7652173913043478,0.0,0.47619047619047616,63,505
33,1,34,W,0.0641025641025641,0.6081081081081081,0.7435897435897436,0.3918918918918919,0.7608695652173914,0.0,0.5487804878048781,64,504
34,1,35,W,0.057692307692307696,0.581081081081081,0.775,0.4189189189189189,0.7739130434782608,0.0,0.5432098765432098,65,503
35,1,36,RRR,0.07692307692307693,0.5540540540540541,0.7333333333333333,0.44594594594594594,0.7695652173913043,0.0,0.44047619047619047,66,502
36,1,37,W,0.08333333333333333,0.5540540540540541,0.717391304347826,0.44594594594594594,0.7652173913043478,0.0,0.47619047619047616,67,501
37,1,38,W,0.10897435897435898,0.5540540540540541,0.66,0.44594594594594594,0.7478260869565218,0.0,0.38372093023255816,68,500
38,1,39,W,0.07051282051282051,0.5405405405405406,0.7555555555555555,0.4594594594594595,0.7782608695652173,0.0,0.36470588235294116,69,499
39,1,40,RWR,0.10897435897435898,0.527027027027027,0.6730769230769231,0.47297297297297297,0.7565217391304347,0.0,0.4342105263157895,70,498
40,1,41,W,0.08974358974358974,0.527027027027027,0.7142857142857143,0.47297297297297297,0.7695652173913043,0.0,0.3170731707317073,71,497
41,1,42,RWR,0.10256410256410256,0.527027027027027,0.6862745098039216,0.47297297297297297,0.7608695652173914,0.0,0.48148148148148145,72,496
42,1,43,RWR,0.09615384615384616,0.5,0.7115384615384616,0.5,0.7739130434782608,0.0,0.41025641025641024,73,495
43,1,44,W,0.10256410256410256,0.5135135135135135,0.6923076923076923,0.4864864864864865,0.7652173913043478,0.0,0.4125,74,494
44,1,45,W,0.10256410256410256,0.47297297297297297,0.7090909090909091,0.527027027027027,0.7782608695652173,0.0,0.3974358974358974,75,493
45,1,46,W,0.09615384615384616,0.44594594594594594,0.7321428571428571,0.5540540540540541,0.7913043478260869,0.0,0.48717948717948717,76,492
46,1,47,W,0.08974358974358974,0.5,0.7254901960784313,0.5,0.7782608695652173,0.0,0.5121951219512195,77,491
47,1,48,W,0.11538461538461539,0.43243243243243246,0.7,0.5675675675675675,0.782608695652174,0.0,0.37037037037037035,78,490
48,1,49,RWR,0.11538461538461539,0.47297297297297297,0.6842105263157895,0.527027027027027,0.7695652173913043,0.0,0.43037974683544306,79,489
49,1,50,RWR,0.10897435897435898,0.4594594594594595,0.7017543859649122,0.5405405405405406,0.7782608695652173,0.0,0.4025974025974026,85,488
50,1,51,RRR,0.10897435897435898,0.47297297297297297,0.6964285714285714,0.527027027027027,0.7739130434782608,0.043478260869565216,0.45454545454545453,86,487
51,1,52,RWR,0.10256410256410256,0.43243243243243246,0.7241379310344828,0.5675675675675675,0.7913043478260869,0.0,0.3972602739726027,87,486
